system_time_s,sim_time_s,latitude_deg,longitude_deg,altitude_m
0.014523744583129883,,43.682276518525626,-79.61355882384855,1477.0774620125392
1.5154685974121094,,43.682272360045566,-79.61355302901686,1475.981633306093
1.5154685974121094,,43.68226821604973,-79.613547224342,1474.8792479369351
1.516477346420288,,43.68226408660356,-79.61354140983005,1473.7703778583611
1.516477346420288,,43.68225997176991,-79.61353558549088,1472.65509438818
1.516477346420288,,43.68225587160926,-79.61352975133796,1471.5334681760871
1.516477346420288,,43.682251786179904,-79.61352390738828,1470.4055692079219
1.516477346420288,,43.68224771553802,-79.61351805366232,1469.2714667928997
1.51747727394104,,43.682243659737956,-79.61351219018374,1468.1312295593564
1.51747727394104,,43.682239618842296,-79.61350631699989,1466.984923704324
1.51747727394104,,43.68223559293434,-79.61350043419077,1465.832612074345
1.5184791088104248,,43.68223158208667,-79.613494541831,1464.6743587472163
1.5184791088104248,,43.68222758635922,-79.61348863998907,1463.5102285326784
1.5184791088104248,,43.682223605802044,-79.61348272873,1462.340286335512
1.5184791088104248,,43.682219640469945,-79.61347680812499,1461.1645959469736
1.5184791088104248,,43.682215690445446,-79.61347087827275,1459.9832155254728
1.519477367401123,,43.68220198702744,-79.6134500524171,1455.8044034895845
1.519477367401123,,43.682177992118156,-79.61341259602858,1448.1786112087593
1.519477367401123,,43.682162023843084,-79.6133869373776,1442.878844468651
1.519477367401123,,43.68215553073976,-79.61337632977609,1440.670784158593
1.519477367401123,,43.682151842119666,-79.61337025765789,1439.402450562575
1.519477367401123,,43.68214816935428,-79.61336417794864,1438.1293957277483
1.519477367401123,,43.682143600743295,-79.61335656779123,1436.5315198418918
1.5209906101226807,,43.682118477825675,-79.61331374295119,1427.4534101233085
1.5209906101226807,,43.68211495310168,-79.61330759737018,1426.139147610516
1.5209906101226807,,43.6821096963331,-79.61329836649652,1424.1598868036153
1.5209906101226807,,43.682106212088,-79.61329220436983,1422.8352024154005
1.522001028060913,,43.682102744103474,-79.6132860357743,1421.5064293007083
1.522001028060913,,43.68209929242172,-79.61327986079645,1420.1736122202308
1.5230004787445068,,43.68209585707998,-79.61327367952352,1418.8367921940808
1.5230004787445068,,43.68209243811383,-79.61326749204571,1417.4960070323125
1.5230004787445068,,43.682089035570435,-79.6132612984596,1416.15129812385
1.5230004787445068,,43.68206486337725,-79.61321622153997,1406.2887225656639
1.5230004787445068,,43.68206159848991,-79.61320998143474,1404.9132467933175
1.5239999294281006,,43.68205835057437,-79.61320373618729,1403.5342273550461
1.5239999294281006,,43.68205511969841,-79.61319748591258,1402.1517027162495
1.5245091915130615,,43.68205190593128,-79.61319123072853,1400.765710810394
1.5245091915130615,,43.68204870934361,-79.6131849707559,1399.376289067377
1.5245091915130615,,43.68204553000757,-79.61317870611866,1397.983474422041
1.5245091915130615,,43.68204158020577,-79.61317086894763,1396.237742006088
1.525512933731079,,43.68203609621412,-79.61315988542745,1393.7850479143788
